iter	Logloss
309	0.202225174
310	0.2018439941
311	0.2015108032
312	0.201089325
313	0.2007861481
314	0.2005733643
315	0.2002368774
316	0.199941925
317	0.1996630249
318	0.1993480835
319	0.1989882813
320	0.1988122559
321	0.198560791
322	0.1983759766
323	0.1981642761
324	0.1978081665
325	0.1973710327
326	0.1969606018
327	0.1967319031
328	0.1964399719
329	0.1962058105
330	0.1958900146
331	0.195620636
332	0.1954395905
333	0.194803421
334	0.1945319824
335	0.194359848
336	0.1942401581
337	0.1939143829
338	0.1937012329
339	0.1934445496
340	0.1932010956
341	0.1928881226
342	0.1926234131
343	0.1924574738
344	0.1922538452
345	0.1919989014
346	0.1917857971
347	0.1915379486
348	0.1912416077
349	0.1910553436
350	0.1908425446
351	0.1905606079
352	0.1903202209
353	0.1900477142
354	0.1898226776
355	0.1895890198
356	0.1891538086
357	0.1889984436
358	0.1887191315
359	0.1883321075
360	0.1879413605
361	0.187544342
362	0.1872672119
363	0.1867835083
364	0.1865864716
365	0.1863932953
366	0.1862548218
367	0.1860163422
368	0.1857836151
369	0.1856177979
370	0.1854281921
371	0.1852167969
372	0.1849456635
373	0.1845982361
374	0.1843005981
375	0.1840769043
376	0.1838622437
377	0.1836421204
378	0.1833579559
379	0.1830545044
380	0.1827602692
381	0.1825058594
382	0.1822700806
383	0.1820899658
384	0.1817838287
385	0.1815791779
386	0.1814102783
387	0.1811241913
388	0.180808197
389	0.1805427246
390	0.1803423157
391	0.1800497131
392	0.1797586365
393	0.1795505676
394	0.1793106079
395	0.1788903809
396	0.1785631104
397	0.1782834778
398	0.1780919189
399	0.177894577
